#PIXEL  #BOARD  #CHANNEL  #MACROCELL L3  #ALL MACROCELLS  #ATTENUATION
4    0.210000    0    
5    0.410000    16    
6    0.610000    8    
7    0.210000    0    
8    0.210000    0    
9    0.210000    0    
10    0.410000    16    
11    0.210000    0    
12    0.210000    0    
13    0.410000    22    
14    0.210000    0    
15    0.210000    0    
16    0.410000    10    
17    0.410000    11    
18    0.210000    0    
19    0.210000    0    
20    0.410000    19    
21    0.410000    18    
22    0.210000    0    
23    0.210000    0    
24    0.210000    0    
25    0.210000    0    
26    0.410000    16    
27    0.210000    0    
28    0.210000    0    
29    0.410000    23    
30    0.210000    0    
31    0.210000    0    
32    0.210000    0    
33    0.610000    2    
34    0.410000    19    
35    0.210000    0    
36    0.210000    0    
37    0.210000    0    
38    0.410000    20    
39    0.210000    0    
40    0.410000    23    
41    0.210000    0    
42    0.210000    0    
43    0.210000    0    
44    0.410000    23    
45    0.210000    0    
46    0.210000    0    
47    0.210000    0    
48    0.410000    24    
49    0.210000    0    
50    0.210000    0    
51    0.210000    0    
52    0.410000    13    
53    0.210000    0    
54    0.410000    16    
55    0.210000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.240000    0    
2    0.240000    0    
3    0.240000    0    
4    0.240000    0    
5    0.440000    8    
6    0.640000    7    
7    0.240000    0    
8    0.240000    0    
9    0.240000    0    
10    0.440000    10    
11    0.240000    0    
12    0.240000    0    
13    0.440000    20    
14    0.240000    0    
15    0.240000    0    
16    0.440000    6    
17    0.440000    14    
18    0.240000    0    
19    0.240000    0    
20    0.440000    15    
21    0.440000    11    
22    0.240000    0    
23    0.240000    0    
24    0.240000    0    
25    0.240000    0    
26    0.440000    11    
27    0.240000    0    
28    0.240000    0    
29    0.440000    22    
30    0.240000    0    
31    0.240000    0    
32    0.240000    0    
33    0.640000    2    
34    0.440000    15    
35    0.240000    0    
36    0.240000    0    
37    0.240000    0    
38    0.440000    18    
39    0.240000    0    
40    0.440000    18    
41    0.240000    0    
42    0.240000    0    
43    0.240000    0    
44    0.440000    24    
45    0.240000    0    
46    0.240000    0    
47    0.240000    0    
48    0.440000    24    
49    0.240000    0    
50    0.240000    0    
51    0.240000    0    
52    0.440000    7    
53    0.240000    0    
54    0.440000    6    
55    0.240000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.270000    0    
2    0.270000    0    
3    0.270000    0    
4    0.270000    0    
5    0.470000    8    
6    0.670000    8    
7    0.270000    0    
8    0.270000    0    
9    0.270000    0    
10    0.470000    4    
11    0.270000    0    
12    0.270000    0    
13    0.470000    9    
14    0.270000    0    
15    0.270000    0    
16    0.470000    5    
17    0.470000    11    
18    0.270000    0    
19    0.270000    0    
20    0.470000    14    
21    0.470000    8    
22    0.270000    0    
23    0.270000    0    
24    0.270000    0    
25    0.270000    0    
26    0.470000    9    
27    0.270000    0    
28    0.270000    0    
29    0.470000    12    
30    0.270000    0    
31    0.270000    0    
32    0.270000    0    
33    0.670000    0    
34    0.470000    14    
35    0.270000    0    
36    0.270000    0    
37    0.270000    0    
38    0.470000    8    
39    0.270000    0    
40    0.470000    12    
41    0.270000    0    
42    0.270000    0    
43    0.270000    0    
44    0.470000    17    
45    0.270000    0    
46    0.270000    0    
47    0.270000    0    
48    0.470000    18    
49    0.270000    0    
50    0.270000    0    
51    0.270000    0    
52    0.470000    8    
53    0.270000    0    
54    0.470000    5    
55    0.270000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.300000    0    
2    0.300000    0    
3    0.300000    0    
4    0.300000    0    
5    0.500000    1    
6    0.700000    4    
7    0.300000    0    
8    0.300000    0    
9    0.300000    0    
10    0.500000    7    
11    0.300000    0    
12    0.300000    0    
13    0.500000    4    
14    0.300000    0    
15    0.300000    0    
16    0.500000    1    
17    0.500000    3    
18    0.300000    0    
19    0.300000    0    
20    0.500000    6    
21    0.500000    1    
22    0.300000    0    
23    0.300000    0    
24    0.300000    0    
25    0.300000    0    
26    0.500000    1    
27    0.300000    0    
28    0.300000    0    
29    0.500000    6    
30    0.300000    0    
31    0.300000    0    
32    0.300000    0    
33    0.700000    0    
34    0.500000    10    
35    0.300000    0    
36    0.300000    0    
37    0.300000    0    
38    0.500000    6    
39    0.300000    0    
40    0.500000    9    
41    0.300000    0    
42    0.300000    0    
43    0.300000    0    
44    0.500000    12    
45    0.300000    0    
46    0.300000    0    
47    0.300000    0    
48    0.500000    16    
49    0.300000    0    
50    0.300000    0    
51    0.300000    0    
