#Macrocell     #Threshold [V]
32          10833333.000000
33          1181818.000000
34          7222333.000000
35          6500000.000000
36          7222444.000000
37          4642857.000000
38          3250000.000000
39          1547619.000000
40          1382978.000000
41          5416666.000000
42          783132.000000
43          4333400.000000
44          3823529.000000
45          3823529.000000
46          1511627.000000
47          5000000.000000
48          5416666.000000
49          4643000.000000
50          1666666.000000
51          2500000.000000
52          488721.000000
53          373563.000000
54          1666666.000000
55          3095238.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.023714
2          0.023714
3          0.023714
4          0.023714
5          0.023714
6          0.023714
7          0.023714
8          0.023714
9          0.023714
10          0.023714
11          0.023714
12          0.023714
13          0.023714
14          0.023714
15          0.023714
16          0.023714
17          0.023714
18          0.023714
19          0.023714
20          0.023714
21          0.023714
22          0.023714
23          0.023714
24          0.023714
25          0.023714
26          0.023714
27          0.023714
28          0.023714
29          0.023714
30          0.023714
31          0.023714
32          0.023714
33          0.023714
34          0.023714
35          0.023714
36          0.023714
37          0.023714
38          0.023714
39          0.023714
40          0.023714
41          0.023714
42          0.023714
43          0.023714
44          0.023714
45          0.023714
46          0.023714
47          0.023714
48          0.023714
49          0.023714
50          0.023714
51          0.023714
52          0.023714
53          0.023714
54          0.023714
55          0.023714
#Macrocell     #Rates [Hz]
1          67567.000000
2          67567.000000
3          72626.000000
4          3095333.000000
5          335051.000000
6          467625.000000
7          37055.000000
8          4642857.000000
9          276595.000000
10          5000076.000000
11          890410.000000
12          550847.000000
13          286343.000000
14          607485.000000
15          5909090.000000
16          1511627.000000
17          224913.000000
18          984863.000000
19          902777.000000
20          4333333.000000
21          3095238.000000
22          747126.000000
23          855263.000000
24          3611111.000000
25          2096774.000000
26          6500000.000000
27          3250000.000000
28          8125000.000000
29          5416666.000000
30          4642857.000000
31          2708333.000000
32          8125125.000000
33          488721.000000
34          5000000.000000
35          4333333.000000
36          5000000.000000
37          2954590.000000
38          1625000.000000
39          706521.000000
40          607476.000000
41          3611111.000000
42          267489.000000
43          2500000.000000
44          2031250.000000
45          2241379.000000
46          643564.000000
47          2954545.000000
48          3095285.000000
49          2954590.000000
50          902777.000000
51          1382978.000000
52          171052.000000
53          104669.000000
54          764705.000000
55          1547619.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.028184
2          0.028184
3          0.028184
4          0.028184
5          0.028184
6          0.028184
7          0.028184
8          0.028184
9          0.028184
10          0.028184
11          0.028184
12          0.028184
13          0.028184
14          0.028184
15          0.028184
16          0.028184
17          0.028184
18          0.028184
19          0.028184
20          0.028184
21          0.028184
22          0.028184
23          0.028184
24          0.028184
25          0.028184
26          0.028184
27          0.028184
28          0.028184
29          0.028184
30          0.028184
31          0.028184
32          0.028184
33          0.028184
34          0.028184
35          0.028184
36          0.028184
37          0.028184
38          0.028184
39          0.028184
40          0.028184
41          0.028184
42          0.028184
43          0.028184
44          0.028184
45          0.028184
46          0.028184
47          0.028184
48          0.028184
49          0.028184
50          0.028184
51          0.028184
52          0.028184
53          0.028184
54          0.028184
55          0.028184
#Macrocell     #Rates [Hz]
1          31244.000000
2          31244.000000
3          34670.000000
4          1354166.000000
5          111301.000000
6          177111.000000
7          23303.000000
8          1756756.000000
9          88555.000000
10          2826086.000000
11          312500.000000
12          167525.000000
13          96582.000000
14          171055.000000
15          2500000.000000
16          424836.000000
17          80246.000000
18          375722.000000
19          302325.000000
20          2500000.000000
21          1547619.000000
22          262096.000000
23          291484.000000
24          1710526.000000
25          928571.000000
26          3095238.000000
27          1065573.000000
28          4642928.000000
29          2826086.000000
30          2096774.000000
31          1031746.000000
32          4333333.000000
33          170603.000000
34          2600000.000000
35          2166666.000000
36          2407444.000000
37          1326530.000000
38          619047.000000
39          285087.000000
40          204402.000000
41          1756756.000000
42          80049.000000
43          1065573.000000
44          915492.000000
45          890424.000000
46          221088.000000
47          1160714.000000
48          1274509.000000
49          1226415.000000
50          386904.000000
51          560344.000000
52          60567.000000
53          34396.000000
54          275423.000000
55          532786.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.033497
2          0.033497
3          0.033497
4          0.033497
5          0.033497
6          0.033497
7          0.033497
8          0.033497
9          0.033497
10          0.033497
11          0.033497
12          0.033497
13          0.033497
14          0.033497
15          0.033497
16          0.033497
17          0.033497
18          0.033497
19          0.033497
20          0.033497
21          0.033497
22          0.033497
23          0.033497
24          0.033497
25          0.033497
26          0.033497
27          0.033497
28          0.033497
29          0.033497
30          0.033497
31          0.033497
32          0.033497
33          0.033497
34          0.033497
