#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
51    0.150000    0    
52    0.150000    0    
53    0.350000    25    
54    0.150000    0    
55    0.350000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.380000    23    
2    0.180000    0    
3    0.380000    23    
4    0.180000    0    
5    0.380000    25    
6    0.380000    24    
7    0.380000    25    
8    0.180000    0    
9    0.380000    24    
10    0.380000    25    
11    0.180000    0    
12    0.380000    25    
13    0.380000    22    
14    0.180000    0    
15    0.380000    25    
16    0.380000    24    
17    0.380000    21    
18    0.380000    21    
19    0.180000    0    
20    0.380000    22    
21    0.380000    20    
22    0.180000    0    
23    0.380000    22    
24    0.180000    0    
25    0.180000    0    
26    0.380000    24    
27    0.580000    1    
28    0.380000    25    
29    0.380000    22    
30    0.380000    20    
31    0.580000    0    
32    0.180000    0    
33    0.380000    23    
34    0.380000    23    
35    0.180000    0    
36    0.380000    22    
37    0.180000    0    
38    0.380000    20    
39    0.180000    0    
40    0.380000    25    
41    0.180000    0    
42    0.380000    23    
43    0.180000    0    
44    0.380000    25    
45    0.380000    23    
46    0.180000    0    
47    0.380000    20    
48    0.380000    25    
49    0.380000    25    
50    0.180000    0    
51    0.180000    0    
52    0.180000    0    
53    0.380000    22    
54    0.180000    0    
55    0.380000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.410000    18    
2    0.210000    0    
3    0.410000    21    
4    0.210000    0    
5    0.410000    23    
6    0.410000    20    
7    0.410000    20    
8    0.210000    0    
9    0.410000    21    
10    0.410000    23    
11    0.210000    0    
12    0.410000    23    
13    0.410000    22    
14    0.210000    0    
15    0.410000    23    
16    0.410000    17    
17    0.410000    19    
18    0.410000    21    
19    0.210000    0    
20    0.410000    17    
21    0.410000    16    
22    0.210000    0    
23    0.410000    19    
24    0.210000    0    
25    0.210000    0    
26    0.410000    21    
27    0.610000    1    
28    0.410000    20    
29    0.410000    18    
30    0.410000    16    
31    0.610000    1    
32    0.210000    0    
33    0.410000    18    
34    0.410000    21    
35    0.210000    0    
36    0.410000    17    
37    0.210000    0    
38    0.410000    13    
39    0.210000    0    
40    0.410000    22    
41    0.210000    0    
42    0.410000    18    
43    0.210000    0    
44    0.410000    18    
45    0.410000    19    
46    0.210000    0    
47    0.410000    15    
48    0.410000    25    
49    0.410000    22    
50    0.210000    0    
51    0.210000    0    
52    0.210000    0    
53    0.410000    18    
54    0.210000    0    
55    0.410000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.440000    13    
2    0.240000    0    
3    0.440000    18    
4    0.240000    0    
5    0.440000    21    
6    0.440000    16    
7    0.440000    18    
8    0.240000    0    
9    0.440000    17    
10    0.440000    16    
11    0.240000    0    
12    0.440000    22    
13    0.440000    21    
14    0.240000    0    
15    0.440000    17    
16    0.440000    12    
17    0.440000    15    
18    0.440000    21    
19    0.240000    0    
20    0.440000    16    
21    0.440000    14    
22    0.240000    0    
23    0.440000    15    
24    0.240000    0    
25    0.240000    0    
26    0.440000    20    
27    0.640000    0    
28    0.440000    15    
29    0.440000    17    
30    0.440000    14    
31    0.640000    0    
32    0.240000    0    
33    0.440000    12    
34    0.440000    19    
35    0.240000    0    
36    0.440000    15    
37    0.240000    0    
38    0.440000    17    
39    0.240000    0    
40    0.440000    15    
41    0.240000    0    
42    0.440000    12    
43    0.240000    0    
44    0.440000    14    
45    0.440000    18    
46    0.240000    0    
47    0.440000    18    
48    0.440000    18    
49    0.440000    15    
50    0.240000    0    
51    0.240000    0    
52    0.240000    0    
53    0.440000    13    
54    0.240000    0    
55    0.440000    20    

#Macrocel    #Threshold    #Rate[Hz]
1    0.470000    11    
2    0.270000    0    
3    0.470000    12    
4    0.270000    0    
5    0.470000    18    
6    0.470000    7    
7    0.470000    15    
8    0.270000    0    
9    0.470000    9    
10    0.470000    8    
11    0.270000    0    
12    0.470000    19    
13    0.470000    14    
14    0.270000    0    
15    0.470000    9    
16    0.470000    11    
17    0.470000    10    
18    0.470000    13    
19    0.270000    0    
20    0.470000    15    
21    0.470000    9    
22    0.270000    0    
23    0.470000    12    
24    0.270000    0    
25    0.270000    0    
26    0.470000    13    
27    0.670000    0    
28    0.470000    17    
29    0.470000    7    
30    0.470000    9    
31    0.670000    0    
32    0.270000    0    
33    0.470000    10    
34    0.470000    16    
35    0.270000    0    
36    0.470000    7    
37    0.270000    0    
38    0.470000    10    
39    0.270000    0    
40    0.470000    18    
41    0.270000    0    
42    0.470000    10    
43    0.270000    0    
44    0.470000    13    
45    0.470000    12    
46    0.270000    0    
47    0.470000    10    
48    0.470000    16    
49    0.470000    16    
50    0.270000    0    
51    0.270000    0    
52    0.270000    0    
53    0.470000    11    
54    0.270000    0    
55    0.470000    17    

#Macrocel    #Threshold    #Rate[Hz]
1    0.500000    5    
2    0.300000    0    
3    0.500000    11    
4    0.300000    0    
5    0.500000    14    
6    0.500000    5    
7    0.500000    10    
8    0.300000    0    
9    0.500000    5    
10    0.500000    5    
11    0.300000    0    
12    0.500000    15    
13    0.500000    7    
14    0.300000    0    
15    0.500000    6    
16    0.500000    6    
17    0.500000    6    
18    0.500000    6    
19    0.300000    0    
20    0.500000    9    
21    0.500000    8    
22    0.300000    0    
23    0.500000    8    
24    0.300000    0    
25    0.300000    0    
26    0.500000    8    
27    0.700000    0    
28    0.500000    6    
29    0.500000    7    
30    0.500000    8    
31    0.700000    0    
32    0.300000    0    
33    0.500000    4    
34    0.500000    9    
35    0.300000    0    
36    0.500000    6    
37    0.300000    0    
38    0.500000    9    
39    0.300000    0    
40    0.500000    9    
41    0.300000    0    
42    0.500000    4    
43    0.300000    0    
44    0.500000    5    
45    0.500000    7    
46    0.300000    0    
47    0.500000    10    
48    0.500000    7    
49    0.500000    9    
50    0.300000    0    
51    0.300000    0    
52    0.300000    0    
53    0.500000    2    
54    0.300000    0    
55    0.500000    8    

#Macrocel    #Threshold    #Rate[Hz]
1    0.530000    4    
2    0.330000    0    
3    0.530000    2    
4    0.330000    0    
5    0.530000    14    
6    0.530000    1    
7    0.530000    2    
8    0.330000    0    
9    0.530000    1    
10    0.530000    3    
11    0.330000    0    
12    0.530000    15    
13    0.530000    4    
14    0.330000    0    
15    0.530000    3    
16    0.530000    3    
17    0.530000    4    
18    0.530000    4    
19    0.330000    0    
20    0.530000    4    
21    0.530000    3    
22    0.330000    0    
23    0.530000    9    
24    0.330000    0    
25    0.330000    0    
26    0.530000    3    
27    0.730000    0    
28    0.530000    5    
29    0.530000    6    
30    0.530000    3    
31    0.730000    0    
32    0.330000    0    
33    0.530000    5    
34    0.530000    2    
35    0.330000    0    
36    0.530000    4    
37    0.330000    0    
38    0.530000    2    
39    0.330000    0    
40    0.530000    4    
41    0.330000    0    
42    0.530000    4    
43    0.330000    0    
44    0.530000    3    
45    0.530000    1    
46    0.330000    0    
47    0.530000    2    
48    0.530000    10    
49    0.530000    4    
50    0.330000    0    
51    0.330000    0    
52    0.330000    0    
53    0.530000    1    
54    0.330000    0    
55    0.530000    10    

#Macrocel    #Threshold    #Rate[Hz]
1    0.560000    1    
2    0.360000    0    
3    0.560000    1    
4    0.360000    0    
5    0.560000    9    
6    0.560000    0    
7    0.560000    2    
8    0.360000    0    
9    0.560000    0    
10    0.560000    4    
11    0.360000    0    
12    0.560000    10    
13    0.560000    4    
14    0.360000    0    
15    0.560000    5    
16    0.560000    2    
17    0.560000    0    
18    0.560000    3    
19    0.360000    0    
20    0.560000    3    
21    0.560000    1    
22    0.360000    0    
23    0.560000    0    
24    0.360000    0    
25    0.360000    0    
26    0.560000    1    
27    0.760000    0    
28    0.560000    3    
29    0.560000    0    
30    0.560000    2    
31    0.760000    0    
32    0.360000    0    
33    0.560000    2    
34    0.560000    2    
35    0.360000    0    
36    0.560000    0    
37    0.360000    0    
38    0.560000    0    
39    0.360000    0    
40    0.560000    4    
41    0.360000    0    
42    0.560000    2    
43    0.360000    0    
44    0.560000    1    
45    0.560000    2    
46    0.360000    0    
47    0.560000    0    
48    0.560000    1    
49    0.560000    4    
50    0.360000    0    
51    0.360000    0    
52    0.360000    0    
53    0.560000    1    
54    0.360000    0    
55    0.560000    2    

#Macrocel    #Threshold    #Rate[Hz]
1    0.590000    1    
2    0.390000    0    
3    0.590000    2    
4    0.390000    0    
5    0.590000    3    
6    0.590000    0    
7    0.590000    2    
8    0.390000    0    
9    0.590000    0    
10    0.590000    1    
11    0.390000    0    
12    0.590000    3    
13    0.590000    2    
14    0.390000    0    
15    0.590000    1    
16    0.590000    0    
17    0.590000    0    
18    0.590000    2    
19    0.390000    0    
20    0.590000    1    
21    0.590000    0    
22    0.390000    0    
23    0.590000    0    
24    0.390000    0    
25    0.390000    0    
26    0.590000    1    
27    0.790000    0    
28    0.590000    1    
29    0.590000    0    
30    0.590000    0    
31    0.790000    0    
32    0.390000    0    
33    0.590000    5    
34    0.590000    0    
