#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
21    0.450000    0    
22    0.650000    0    
23    0.650000    0    
24    0.650000    0    
25    0.650000    0    
26    0.450000    0    
27    0.650000    0    
28    0.650000    0    
29    0.450000    0    
30    0.450000    23    
31    0.850000    0    
32    0.650000    0    
33    0.450000    0    
34    0.450000    0    
35    0.650000    0    
36    0.650000    0    
37    0.650000    0    
38    0.450000    0    
39    0.850000    0    
40    0.450000    0    
41    0.850000    0    
42    0.650000    0    
43    0.650000    0    
44    0.450000    0    
45    0.650000    0    
46    0.650000    0    
47    0.650000    0    
48    0.450000    0    
49    0.650000    0    
50    0.650000    0    
51    0.650000    0    
52    0.450000    0    
53    0.650000    0    
54    0.450000    0    
55    0.450000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.880000    0    
2    0.480000    0    
3    0.680000    0    
4    0.480000    0    
5    0.480000    0    
6    0.480000    0    
7    0.680000    0    
8    0.880000    0    
9    0.680000    0    
10    0.480000    0    
11    0.680000    0    
12    0.680000    0    
13    0.480000    0    
14    0.880000    0    
15    0.680000    0    
16    0.480000    0    
17    0.480000    0    
18    0.680000    0    
19    0.680000    0    
20    0.480000    0    
21    0.480000    0    
22    0.680000    0    
23    0.680000    0    
24    0.680000    0    
25    0.680000    0    
26    0.480000    0    
27    0.680000    0    
28    0.680000    0    
29    0.480000    0    
30    0.480000    18    
31    0.880000    0    
32    0.680000    0    
33    0.480000    0    
34    0.480000    0    
35    0.680000    0    
36    0.680000    0    
37    0.680000    0    
38    0.480000    0    
39    0.880000    0    
40    0.480000    0    
41    0.880000    0    
42    0.680000    1    
43    0.680000    0    
44    0.480000    0    
45    0.680000    0    
46    0.680000    1    
47    0.680000    0    
48    0.480000    0    
49    0.680000    0    
50    0.680000    0    
51    0.680000    0    
52    0.480000    0    
53    0.680000    0    
54    0.480000    0    
55    0.480000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.910000    0    
2    0.510000    0    
3    0.710000    0    
4    0.510000    0    
5    0.510000    0    
6    0.510000    0    
7    0.710000    0    
8    0.910000    0    
9    0.710000    0    
10    0.510000    0    
11    0.710000    0    
12    0.710000    0    
13    0.510000    0    
14    0.910000    0    
15    0.710000    0    
16    0.510000    0    
17    0.510000    0    
18    0.710000    0    
19    0.710000    0    
20    0.510000    0    
21    0.510000    0    
22    0.710000    0    
23    0.710000    0    
24    0.710000    0    
25    0.710000    0    
26    0.510000    0    
27    0.710000    0    
28    0.710000    0    
29    0.510000    0    
30    0.510000    15    
31    0.910000    0    
32    0.710000    0    
33    0.510000    0    
34    0.510000    0    
35    0.710000    0    
36    0.710000    0    
37    0.710000    0    
38    0.510000    0    
39    0.910000    0    
40    0.510000    0    
41    0.910000    0    
42    0.710000    0    
43    0.710000    0    
44    0.510000    0    
45    0.710000    0    
46    0.710000    0    
47    0.710000    0    
48    0.510000    0    
49    0.710000    0    
50    0.710000    0    
51    0.710000    0    
52    0.510000    0    
53    0.710000    0    
54    0.510000    0    
55    0.510000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.940000    0    
2    0.540000    0    
3    0.740000    0    
4    0.540000    0    
5    0.540000    0    
6    0.540000    0    
7    0.740000    0    
8    0.940000    0    
9    0.740000    0    
10    0.540000    0    
11    0.740000    0    
12    0.740000    0    
13    0.540000    0    
14    0.940000    0    
15    0.740000    0    
