#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
28    1.040000    9    
29    0.840000    25    
30    0.840000    7    
31    0.440000    0    
32    0.440000    0    
33    0.840000    22    
34    0.840000    15    
35    0.440000    0    
36    0.840000    25    
37    0.440000    0    
38    0.840000    17    
39    0.440000    0    
40    0.840000    23    
41    0.440000    0    
42    0.840000    20    
43    0.440000    0    
44    0.840000    20    
45    0.840000    15    
46    0.440000    0    
47    0.840000    17    
48    1.040000    9    
49    0.840000    23    
50    0.440000    0    
51    0.440000    0    
52    0.440000    0    
53    0.840000    20    
54    0.440000    0    
55    1.040000    9    

#Macrocel    #Threshold    #Rate[Hz]
1    0.670000    18    
2    0.470000    0    
3    0.870000    22    
4    0.470000    0    
5    0.870000    16    
6    0.870000    17    
7    0.870000    12    
8    0.470000    0    
9    0.870000    15    
10    0.870000    22    
11    0.470000    0    
12    0.870000    16    
13    0.870000    20    
14    0.470000    0    
15    0.870000    22    
16    1.070000    6    
17    0.870000    16    
18    0.870000    21    
19    0.470000    0    
20    0.870000    21    
21    0.870000    1    
22    0.470000    0    
23    0.870000    16    
24    0.470000    0    
25    0.470000    0    
26    0.470000    0    
27    0.870000    20    
28    1.070000    5    
29    0.870000    20    
30    0.870000    1    
31    0.470000    0    
32    0.470000    0    
33    0.870000    20    
34    0.870000    18    
35    0.470000    0    
36    0.870000    18    
37    0.470000    0    
38    0.870000    9    
39    0.470000    0    
40    0.870000    22    
41    0.470000    0    
42    0.870000    18    
43    0.470000    0    
44    0.870000    20    
45    0.870000    18    
46    0.470000    0    
47    0.870000    9    
48    1.070000    10    
49    0.870000    22    
50    0.470000    0    
51    0.470000    0    
52    0.470000    0    
53    0.870000    20    
54    0.470000    0    
55    1.070000    10    

#Macrocel    #Threshold    #Rate[Hz]
1    0.700000    19    
2    0.500000    0    
3    0.900000    14    
4    0.500000    0    
5    0.900000    14    
6    0.900000    12    
7    0.900000    9    
8    0.500000    0    
9    0.900000    11    
10    0.900000    22    
11    0.500000    0    
12    0.900000    14    
13    0.900000    15    
14    0.500000    0    
15    0.900000    22    
