#Macrocell     #Rates [Hz]
22          0.072250
23          0.081446
24          0.075125
25          0.075171
26          0.067652
27          0.077311
28          0.074914
29          0.085866
30          0.074936
31          0.077851
32          0.066129
33          0.094193
34          0.072456
35          0.101822
36          0.091430
37          0.073343
38          0.075375
39          0.073471
40          0.094762
41          0.069166
42          0.074625
43          0.076849
44          0.075699
45          0.073593
46          0.072295
47          0.074849
48          0.075449
49          0.088611
50          0.081022
51          0.064694
52          0.073083
53          0.072060
54          0.062790
55          0.074059
#Macrocell     #Rates [Hz]
1          2600000.000000
2          2600000.000000
3          6500000.000000
4          6500000.000000
5          7222222.000000
6          7222444.000000
7          2600080.000000
8          10833333.000000
9          4333333.000000
10          5416666.000000
11          8125000.000000
12          8125000.000000
13          8125000.000000
14          9285714.000000
15          9285714.000000
16          10833500.000000
17          8125000.000000
18          8125000.000000
19          7222333.000000
20          4642928.000000
21          7222222.000000
22          9285714.000000
23          9285714.000000
24          10833333.000000
25          10833333.000000
26          8125000.000000
27          8125000.000000
28          7222222.000000
29          10833500.000000
30          8125000.000000
31          10833333.000000
32          2147483648.000000
33          7222222.000000
34          7222222.000000
35          9285857.000000
36          9285714.000000
37          8125000.000000
38          9285714.000000
39          8125000.000000
40          9285714.000000
41          5000000.000000
42          10833333.000000
43          9285714.000000
44          6500000.000000
45          9285857.000000
46          9285714.000000
47          9285714.000000
48          10833333.000000
49          10833333.000000
50          5000076.000000
51          6500000.000000
52          7222222.000000
53          5909090.000000
54          7222222.000000
55          9285714.000000
Total rate:          2708333
#Macrocell     #Threshold [V]
1          0.090378
2          0.071063
3          0.102423
4          0.079841
5          0.081817
6          0.090043
7          0.094586
8          0.095673
9          0.109120
10          0.088904
11          0.084365
12          0.085188
13          0.079506
14          0.097646
15          0.085640
16          0.087252
17          0.081852
18          0.089588
19          0.118177
20          0.100995
21          0.089929
22          0.085870
23          0.096799
24          0.089286
25          0.089341
26          0.080405
27          0.091884
28          0.089036
29          0.102052
30          0.089061
31          0.092526
32          0.078594
33          0.111949
34          0.086114
35          0.121016
36          0.108665
37          0.087169
38          0.089583
39          0.087320
40          0.112625
41          0.082203
42          0.088692
43          0.091335
44          0.089968
45          0.087465
46          0.085923
47          0.088958
48          0.089672
49          0.105314
50          0.096295
51          0.076889
52          0.086860
53          0.085644
54          0.074626
55          0.088019
#Macrocell     #Rates [Hz]
1          1065573.000000
2          1065573.000000
3          3421052.000000
4          3095238.000000
5          4333333.000000
6          4062500.000000
7          0.000000
8          6500100.000000
9          1911764.000000
10          2600000.000000
11          5000000.000000
12          5000000.000000
13          4333333.000000
14          5416666.000000
15          5000000.000000
16          6500000.000000
17          5000000.000000
18          5000076.000000
19          3823588.000000
20          2166666.000000
21          3823529.000000
22          5416666.000000
23          5416666.000000
24          6500000.000000
25          6500000.000000
26          5000000.000000
27          4333333.000000
28          3823529.000000
29          6500100.000000
30          4333333.000000
31          6500100.000000
32          7222222.000000
33          4642857.000000
34          3421052.000000
35          5909181.000000
36          5416666.000000
37          5000076.000000
38          5416666.000000
39          4642857.000000
40          5416666.000000
41          2321428.000000
42          6500000.000000
43          5416666.000000
44          3421052.000000
45          5909090.000000
46          5416666.000000
47          5416666.000000
48          6500000.000000
49          6500000.000000
50          2147483648.000000
51          3611111.000000
52          3823588.000000
53          2954545.000000
54          4333333.000000
55          5416666.000000
Total rate:          10833500
#Macrocell     #Threshold [V]
1          0.107414
2          0.084458
3          0.121730
4          0.094892
5          0.097240
6          0.107016
7          0.112416
8          0.113707
9          0.129689
10          0.105662
11          0.100268
12          0.101246
13          0.094493
14          0.116053
15          0.101783
16          0.103699
17          0.097281
18          0.106476
19          0.140454
20          0.120033
21          0.106881
22          0.102056
23          0.115045
24          0.106116
25          0.106183
26          0.095562
27          0.109204
28          0.105819
29          0.121289
30          0.105850
31          0.109968
32          0.093410
33          0.133052
34          0.102347
35          0.143828
36          0.129148
37          0.103600
38          0.106470
39          0.103780
40          0.133855
41          0.097699
42          0.105410
43          0.108552
44          0.106927
45          0.103953
46          0.102119
47          0.105727
48          0.106575
49          0.125166
50          0.114446
51          0.091382
52          0.103233
53          0.101788
54          0.088693
55          0.104611
#Macrocell     #Rates [Hz]
1          384615.000000
2          384615.000000
3          1585365.000000
4          1203703.000000
5          2096774.000000
6          1911764.000000
7          416666.000000
8          3250000.000000
9          722222.000000
10          984848.000000
11          2407407.000000
12          2166700.000000
13          2031250.000000
14          2708333.000000
15          2241379.000000
16          3421052.000000
17          2321428.000000
18          2600000.000000
19          1756756.000000
20          722222.000000
21          1585365.000000
22          2826086.000000
23          2708333.000000
24          0.000000
25          3095285.000000
26          2241379.000000
27          1969727.000000
28          1666666.000000
29          3250000.000000
30          1857142.000000
31          3421052.000000
32          3421052.000000
33          2096774.000000
34          2147483648.000000
35          2954545.000000
36          2407407.000000
37          2241379.000000
38          2708333.000000
39          2166666.000000
40          2600000.000000
41          844155.000000
42          3250000.000000
43          2708333.000000
44          1477272.000000
45          2954545.000000
46          2954545.000000
47          2500000.000000
48          3250000.000000
49          3421052.000000
50          1015625.000000
51          1547619.000000
52          1857200.000000
53          1250000.000000
54          1969696.000000
55          2600000.000000
Total rate:          32500000
#Macrocell     #Threshold [V]
1          0.127662
2          0.100379
3          0.144676
4          0.112779
5          0.115570
6          0.127189
7          0.133606
8          0.135141
9          0.154136
10          0.125580
11          0.119168
12          0.120331
13          0.112305
14          0.137929
15          0.120969
16          0.123247
17          0.115619
18          0.126547
19          0.166930
20          0.142660
21          0.127028
22          0.121294
23          0.136732
24          0.126119
25          0.126198
26          0.113575
27          0.129789
28          0.125766
29          0.144153
30          0.125802
31          0.130697
32          0.111018
33          0.158132
34          0.121640
35          0.170939
36          0.153493
37          0.123129
38          0.126539
39          0.123343
40          0.159087
41          0.116115
42          0.125280
43          0.129014
44          0.127083
45          0.123548
46          0.121369
47          0.125657
48          0.126665
49          0.148760
50          0.136020
51          0.108608
52          0.122693
53          0.120975
54          0.105412
55          0.124330
#Macrocell     #Rates [Hz]
1          101562.000000
2          101562.000000
3          541666.000000
4          351356.000000
5          764705.000000
6          691489.000000
7          120817.000000
8          1160732.000000
9          196969.000000
10          261044.000000
11          822784.000000
12          773809.000000
13          738636.000000
14          1000000.000000
15          722222.000000
16          1203703.000000
17          833333.000000
18          1015625.000000
19          560344.000000
20          175675.000000
21          467625.000000
22          970149.000000
23          0.000000
24          1083333.000000
25          1160714.000000
26          783132.000000
27          684210.000000
28          565217.000000
29          1120689.000000
30          546218.000000
31          1181818.000000
32          1274509.000000
33          764705.000000
34          474452.000000
35          1031761.000000
36          773809.000000
37          722222.000000
38          955882.000000
39          755813.000000
40          915492.000000
41          218120.000000
42          1274509.000000
43          984848.000000
44          451388.000000
45          1048403.000000
46          1101694.000000
47          890410.000000
48          1181818.000000
49          1181818.000000
50          292792.000000
51          496183.000000
52          714285.000000
53          396341.000000
54          656565.000000
55          955882.000000
Total rate:          21667000
#Macrocell     #Rates [Hz]
1          102523.000000
2          102523.000000
3          546218.000000
4          351351.000000
5          773809.000000
6          698924.000000
7          121268.000000
8          1160714.000000
9          198170.000000
10          262096.000000
11          822784.000000
12          764705.000000
13          747126.000000
14          1000000.000000
15          722222.000000
16          1181818.000000
17          833333.000000
18          1015625.000000
19          565217.000000
20          178571.000000
21          474452.000000
22          955882.000000
23          984848.000000
24          1101694.000000
25          1140350.000000
26          783144.000000
27          691489.000000
28          555555.000000
29          1120689.000000
30          546218.000000
31          1203703.000000
32          1274509.000000
33          773809.000000
34          477941.000000
35          1031746.000000
36          764705.000000
37          706521.000000
38          955882.000000
39          764705.000000
40          915492.000000
41          216666.000000
42          1250000.000000
43          1015625.000000
44          457746.000000
45          1048387.000000
46          1101711.000000
47          890410.000000
48          1181818.000000
49          1181818.000000
50          292792.000000
51          496183.000000
52          706521.000000
53          393939.000000
54          663265.000000
55          955882.000000
Total rate:          21666666
#Macrocell     #Threshold [V]
1          0.151727
2          0.119300
3          0.171948
4          0.134038
5          0.137355
6          0.151165
7          0.158791
8          0.160616
9          0.183191
10          0.149252
11          0.141632
12          0.143014
13          0.133474
14          0.163929
15          0.143772
16          0.146479
17          0.137413
18          0.150401
19          0.198396
20          0.169552
21          0.150973
22          0.144158
23          0.162506
24          0.149893
25          0.149987
26          0.134984
27          0.154255
28          0.149473
29          0.171326
30          0.149516
31          0.155334
32          0.131945
33          0.187941
34          0.144569
35          0.203162
36          0.182427
37          0.146339
38          0.150392
39          0.146593
40          0.189075
41          0.138003
42          0.148896
43          0.153333
44          0.151039
45          0.146837
46          0.144247
47          0.149344
48          0.150541
49          0.176801
50          0.161660
51          0.129081
52          0.145820
53          0.143779
54          0.125282
55          0.147767
#Macrocell     #Rates [Hz]
1          20963.000000
2          20963.000000
3          165394.000000
4          75493.000000
5          226480.000000
6          186246.000000
7          24390.000000
8          306603.000000
9          40197.000000
10          51546.000000
11          223367.000000
12          211726.000000
13          210355.000000
14          280172.000000
15          171052.000000
16          340314.000000
17          224137.000000
18          302325.000000
19          141304.000000
20          33661.000000
21          100000.000000
22          252918.000000
23          0.000000
24          302325.000000
25          320197.000000
26          199386.000000
27          187319.000000
28          139484.000000
29          315533.000000
30          126213.000000
31          340314.000000
32          365168.000000
33          230496.000000
34          140692.000000
35          287610.000000
36          185185.000000
37          156626.000000
38          255905.000000
39          215231.000000
40          247152.000000
41          41374.000000
42          386904.000000
43          2147483648.000000
44          107260.000000
45          277777.000000
46          312500.000000
47          231316.000000
48          335051.000000
49          329949.000000
50          62260.000000
51          121268.000000
52          206349.000000
53          100931.000000
54          175202.000000
55          286343.000000
Total rate:          9285714
#Macrocell     #Threshold [V]
1          0.180328
2          0.141788
3          0.204360
