#Macrocell     #Threshold [V]
7          1083333.000000
8          7222222.000000
9          3250000.000000
10          7222222.000000
11          5000000.000000
12          4333333.000000
13          4062562.000000
14          4333333.000000
15          9285714.000000
16          5909090.000000
17          5000000.000000
18          3823529.000000
19          5909181.000000
20          6500000.000000
21          5909090.000000
22          6500000.000000
23          5909090.000000
24          9285714.000000
25          5909090.000000
26          10833333.000000
27          5000076.000000
28          8125000.000000
29          9286000.000000
30          8125000.000000
31          10833333.000000
32          9285714.000000
33          9285714.000000
34          10833333.000000
35          6500000.000000
36          10833333.000000
37          21666666.000000
38          6500000.000000
39          8125125.000000
40          5416666.000000
41          8125000.000000
42          4062500.000000
43          8125000.000000
44          13000000.000000
45          8125125.000000
46          4642857.000000
47          5909272.000000
48          8125125.000000
49          8125250.000000
50          5416666.000000
51          5909090.000000
52          1666666.000000
53          2954545.000000
54          5416750.000000
55          2500000.000000
%56          0.000000
#Macrocell     #Rates [Hz]
1          1140350.000000
2          1140350.000000
3          2166666.000000
4          9285714.000000
5          2500000.000000
6          5909181.000000
7          1083333.000000
8          7222222.000000
9          3250000.000000
10          6500000.000000
11          5000000.000000
12          4062500.000000
13          4062500.000000
14          4062500.000000
15          8064000.000000
16          5909181.000000
17          4642857.000000
18          3611111.000000
19          5416833.000000
20          5909090.000000
21          5416666.000000
22          6500000.000000
23          5416750.000000
24          8125125.000000
25          5416666.000000
26          9285714.000000
27          5000000.000000
28          8125000.000000
29          8125000.000000
30          8125000.000000
31          10833333.000000
32          9285857.000000
33          9285857.000000
34          10833333.000000
35          6500000.000000
36          9285857.000000
37          21667332.000000
38          6500100.000000
39          8125000.000000
40          5416750.000000
41          8125125.000000
42          3823529.000000
43          8125000.000000
44          10833666.000000
45          7222222.000000
46          4642928.000000
47          5909090.000000
48          7222333.000000
49          7222555.000000
50          5000076.000000
51          5416666.000000
52          1625000.000000
53          2826086.000000
54          5000076.000000
55          2407407.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.094406
2          0.094406
3          0.094406
4          0.094406
5          0.094406
6          0.094406
7          0.094406
8          0.094406
9          0.094406
10          0.094406
11          0.094406
12          0.094406
13          0.094406
14          0.094406
15          0.094406
16          0.094406
17          0.094406
18          0.094406
19          0.094406
20          0.094406
21          0.094406
22          0.094406
23          0.094406
24          0.094406
25          0.094406
26          0.094406
27          0.094406
28          0.094406
29          0.094406
30          0.094406
31          0.094406
32          0.094406
33          0.094406
34          0.094406
35          0.094406
36          0.094406
37          0.094406
38          0.094406
39          0.094406
40          0.094406
41          0.094406
42          0.094406
43          0.094406
44          0.094406
45          0.094406
46          0.094406
47          0.094406
48          0.094406
49          0.094406
50          0.094406
51          0.094406
52          0.094406
53          0.094406
54          0.094406
55          0.094406
#Macrocell     #Rates [Hz]
1          328282.000000
2          328282.000000
