#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
24    0.280000    0    
25    0.280000    0    
26    0.480000    2    
27    0.680000    0    
28    0.480000    0    
29    0.480000    4    
30    0.280000    25    
31    0.480000    4    
32    0.280000    0    
33    0.480000    3    
34    0.480000    20    
35    0.280000    0    
36    0.480000    4    
37    0.280000    0    
38    0.480000    0    
39    0.280000    0    
40    0.480000    2    
41    0.280000    0    
42    0.480000    2    
43    0.280000    0    
44    0.480000    0    
45    0.480000    20    
46    0.280000    0    
47    0.480000    1    
48    0.680000    0    
49    0.480000    2    
50    0.280000    0    
51    0.280000    0    
52    0.280000    0    
53    0.480000    0    
54    0.280000    0    
55    0.680000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.500000    1    
2    0.300000    0    
3    0.500000    0    
4    0.300000    0    
5    0.500000    15    
6    0.500000    0    
7    0.700000    0    
8    0.300000    0    
9    0.500000    0    
10    0.500000    0    
11    0.300000    0    
12    0.500000    15    
13    0.500000    8    
14    0.300000    0    
15    0.500000    0    
16    0.500000    0    
17    0.700000    0    
18    0.500000    7    
19    0.300000    0    
20    0.700000    0    
21    0.500000    3    
22    0.300000    0    
23    0.700000    0    
24    0.300000    0    
25    0.300000    0    
26    0.500000    0    
27    0.700000    0    
28    0.500000    0    
29    0.500000    6    
30    0.300000    25    
31    0.500000    0    
32    0.300000    0    
33    0.500000    4    
34    0.500000    15    
35    0.300000    0    
36    0.500000    4    
37    0.300000    0    
38    0.500000    1    
39    0.300000    0    
40    0.500000    3    
41    0.300000    0    
42    0.500000    4    
43    0.300000    0    
44    0.500000    0    
45    0.500000    14    
46    0.300000    0    
47    0.500000    1    
48    0.700000    0    
49    0.500000    3    
50    0.300000    0    
51    0.300000    0    
52    0.300000    0    
53    0.500000    0    
54    0.300000    0    
55    0.700000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.520000    4    
2    0.320000    0    
3    0.520000    1    
4    0.320000    0    
5    0.520000    8    
6    0.520000    0    
7    0.720000    0    
8    0.320000    0    
9    0.520000    0    
10    0.520000    0    
11    0.320000    0    
12    0.520000    8    
13    0.520000    3    
14    0.320000    0    
15    0.520000    0    
16    0.520000    0    
17    0.720000    0    
18    0.520000    2    
19    0.320000    0    
20    0.720000    0    
21    0.520000    2    
22    0.320000    0    
23    0.720000    0    
24    0.320000    0    
25    0.320000    0    
26    0.520000    0    
27    0.720000    0    
28    0.520000    0    
29    0.520000    4    
30    0.320000    24    
31    0.520000    0    
32    0.320000    0    
33    0.520000    0    
34    0.520000    9    
35    0.320000    0    
36    0.520000    4    
37    0.320000    0    
38    0.520000    0    
39    0.320000    0    
40    0.520000    5    
41    0.320000    0    
42    0.520000    0    
43    0.320000    0    
44    0.520000    0    
45    0.520000    7    
46    0.320000    0    
47    0.520000    0    
48    0.720000    0    
49    0.520000    5    
50    0.320000    0    
51    0.320000    0    
52    0.320000    0    
53    0.520000    0    
54    0.320000    0    
55    0.720000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.540000    0    
2    0.340000    0    
3    0.540000    0    
4    0.340000    0    
5    0.540000    8    
6    0.540000    0    
7    0.740000    0    
8    0.340000    0    
9    0.540000    0    
10    0.540000    0    
11    0.340000    0    
12    0.540000    9    
13    0.540000    5    
14    0.340000    0    
15    0.540000    0    
16    0.540000    0    
17    0.740000    0    
18    0.540000    5    
19    0.340000    0    
20    0.740000    0    
21    0.540000    0    
22    0.340000    0    
23    0.740000    0    
24    0.340000    0    
25    0.340000    0    
26    0.540000    1    
27    0.740000    0    
28    0.540000    0    
29    0.540000    1    
30    0.340000    25    
31    0.540000    1    
32    0.340000    0    
33    0.540000    1    
34    0.540000    7    
35    0.340000    0    
36    0.540000    1    
37    0.340000    0    
38    0.540000    1    
39    0.340000    0    
40    0.540000    0    
41    0.340000    0    
42    0.540000    1    
43    0.340000    0    
44    0.540000    0    
45    0.540000    5    
46    0.340000    0    
47    0.540000    1    
48    0.740000    0    
49    0.540000    0    
50    0.340000    0    
51    0.340000    0    
52    0.340000    0    
53    0.540000    0    
54    0.340000    0    
55    0.740000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.560000    0    
2    0.360000    0    
3    0.560000    0    
4    0.360000    0    
5    0.560000    4    
6    0.560000    0    
7    0.760000    0    
8    0.360000    0    
9    0.560000    0    
10    0.560000    0    
11    0.360000    0    
12    0.560000    4    
13    0.560000    1    
14    0.360000    0    
15    0.560000    0    
16    0.560000    0    
17    0.760000    0    
18    0.560000    1    
19    0.360000    0    
20    0.760000    0    
21    0.560000    1    
22    0.360000    0    
23    0.760000    0    
24    0.360000    0    
25    0.360000    0    
26    0.560000    0    
27    0.760000    0    
28    0.560000    0    
29    0.560000    1    
30    0.360000    24    
31    0.560000    0    
32    0.360000    0    
33    0.560000    0    
34    0.560000    4    
35    0.360000    0    
36    0.560000    0    
37    0.360000    0    
38    0.560000    0    
39    0.360000    0    
40    0.560000    0    
41    0.360000    0    
42    0.560000    0    
43    0.360000    0    
44    0.560000    0    
45    0.560000    3    
46    0.360000    0    
47    0.560000    0    
48    0.760000    0    
49    0.560000    0    
50    0.360000    0    
51    0.360000    0    
52    0.360000    0    
53    0.560000    0    
54    0.360000    0    
55    0.760000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.580000    0    
2    0.380000    0    
3    0.580000    0    
4    0.380000    0    
5    0.580000    4    
6    0.580000    0    
7    0.780000    0    
8    0.380000    0    
9    0.580000    0    
10    0.580000    0    
11    0.380000    0    
12    0.580000    7    
13    0.580000    1    
14    0.380000    0    
15    0.580000    0    
16    0.580000    0    
17    0.780000    0    
