#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
55    0.380000    17    

#Macrocel    #Threshold    #Rate[Hz]
1    0.610000    10    
2    0.210000    0    
3    0.610000    1    
4    0.210000    0    
5    0.410000    10    
6    0.610000    3    
7    0.410000    11    
8    0.210000    0    
9    0.610000    3    
10    0.610000    6    
11    0.210000    0    
12    0.410000    12    
13    0.410000    11    
14    0.210000    0    
15    0.610000    8    
16    0.610000    6    
17    0.410000    12    
18    0.410000    12    
19    0.210000    0    
20    0.410000    11    
21    0.410000    25    
22    0.210000    0    
23    0.410000    13    
24    0.210000    0    
25    0.210000    0    
26    0.410000    23    
27    0.410000    13    
28    0.610000    7    
29    0.410000    15    
30    0.410000    25    
31    0.410000    23    
32    0.210000    0    
33    0.410000    25    
34    0.410000    10    
35    0.210000    0    
36    0.410000    9    
37    0.210000    0    
38    0.610000    10    
39    0.210000    0    
40    0.410000    10    
41    0.210000    0    
42    0.410000    25    
43    0.210000    0    
44    0.610000    13    
45    0.410000    8    
46    0.210000    0    
47    0.610000    10    
48    0.410000    15    
49    0.410000    10    
50    0.210000    0    
51    0.210000    0    
52    0.210000    0    
53    0.610000    12    
54    0.210000    0    
55    0.410000    15    

#Macrocel    #Threshold    #Rate[Hz]
1    0.640000    6    
2    0.240000    0    
3    0.640000    0    
4    0.240000    0    
5    0.440000    7    
6    0.640000    5    
7    0.440000    7    
8    0.240000    0    
9    0.640000    5    
10    0.640000    4    
11    0.240000    0    
12    0.440000    7    
13    0.440000    9    
14    0.240000    0    
15    0.640000    5    
16    0.640000    2    
17    0.440000    6    
18    0.440000    9    
19    0.240000    0    
20    0.440000    6    
21    0.440000    24    
22    0.240000    0    
23    0.440000    6    
24    0.240000    0    
25    0.240000    0    
26    0.440000    22    
27    0.440000    6    
28    0.640000    3    
29    0.440000    7    
30    0.440000    24    
31    0.440000    22    
32    0.240000    0    
33    0.440000    23    
34    0.440000    4    
35    0.240000    0    
36    0.440000    6    
37    0.240000    0    
38    0.640000    4    
39    0.240000    0    
40    0.440000    12    
41    0.240000    0    
42    0.440000    23    
43    0.240000    0    
44    0.640000    6    
45    0.440000    3    
46    0.240000    0    
47    0.640000    5    
48    0.440000    6    
49    0.440000    12    
50    0.240000    0    
51    0.240000    0    
52    0.240000    0    
53    0.640000    6    
54    0.240000    0    
55    0.440000    8    

#Macrocel    #Threshold    #Rate[Hz]
1    0.670000    2    
2    0.270000    0    
3    0.670000    0    
4    0.270000    0    
5    0.470000    3    
6    0.670000    1    
7    0.470000    3    
8    0.270000    0    
9    0.670000    1    
10    0.670000    2    
11    0.270000    0    
12    0.470000    3    
13    0.470000    5    
14    0.270000    0    
15    0.670000    2    
16    0.670000    1    
17    0.470000    1    
18    0.470000    5    
19    0.270000    0    
20    0.470000    1    
21    0.470000    22    
22    0.270000    0    
23    0.470000    1    
24    0.270000    0    
25    0.270000    0    
26    0.470000    21    
27    0.470000    3    
28    0.670000    2    
29    0.470000    4    
30    0.470000    22    
31    0.470000    21    
32    0.270000    0    
33    0.470000    23    
34    0.470000    3    
35    0.270000    0    
36    0.470000    4    
37    0.270000    0    
38    0.670000    5    
39    0.270000    0    
40    0.470000    7    
41    0.270000    0    
42    0.470000    23    
43    0.270000    0    
44    0.670000    1    
45    0.470000    0    
46    0.270000    0    
47    0.670000    7    
48    0.470000    3    
49    0.470000    7    
50    0.270000    0    
51    0.270000    0    
52    0.270000    0    
53    0.670000    1    
54    0.270000    0    
55    0.470000    3    

#Macrocel    #Threshold    #Rate[Hz]
1    0.700000    1    
2    0.300000    0    
3    0.700000    2    
4    0.300000    0    
5    0.500000    0    
6    0.700000    3    
7    0.500000    3    
8    0.300000    0    
9    0.700000    4    
10    0.700000    1    
11    0.300000    0    
12    0.500000    0    
13    0.500000    0    
14    0.300000    0    
15    0.700000    2    
16    0.700000    0    
17    0.500000    1    
18    0.500000    0    
19    0.300000    0    
20    0.500000    0    
21    0.500000    19    
22    0.300000    0    
23    0.500000    1    
24    0.300000    0    
25    0.300000    0    
26    0.500000    16    
27    0.500000    0    
28    0.700000    0    
29    0.500000    0    
30    0.500000    19    
31    0.500000    16    
32    0.300000    0    
33    0.500000    21    
34    0.500000    1    
35    0.300000    0    
36    0.500000    0    
37    0.300000    0    
38    0.700000    4    
39    0.300000    0    
40    0.500000    4    
41    0.300000    0    
42    0.500000    20    
43    0.300000    0    
44    0.700000    1    
45    0.500000    0    
46    0.300000    0    
47    0.700000    5    
48    0.500000    1    
49    0.500000    4    
50    0.300000    0    
51    0.300000    0    
52    0.300000    0    
53    0.700000    1    
54    0.300000    0    
55    0.500000    2    

#Macrocel    #Threshold    #Rate[Hz]
1    0.730000    0    
2    0.330000    0    
3    0.730000    0    
4    0.330000    0    
5    0.530000    0    
6    0.730000    1    
7    0.530000    1    
8    0.330000    0    
9    0.730000    1    
10    0.730000    1    
11    0.330000    0    
12    0.530000    0    
13    0.530000    1    
14    0.330000    0    
15    0.730000    1    
16    0.730000    0    
17    0.530000    0    
18    0.530000    1    
19    0.330000    0    
20    0.530000    0    
21    0.530000    15    
22    0.330000    0    
23    0.530000    0    
24    0.330000    0    
25    0.330000    0    
26    0.530000    16    
27    0.530000    0    
28    0.730000    0    
29    0.530000    3    
30    0.530000    17    
31    0.530000    17    
32    0.330000    0    
33    0.530000    17    
34    0.530000    0    
35    0.330000    0    
36    0.530000    2    
37    0.330000    0    
38    0.730000    2    
39    0.330000    0    
40    0.530000    0    
41    0.330000    0    
42    0.530000    17    
43    0.330000    0    
44    0.730000    2    
45    0.530000    0    
46    0.330000    0    
